name;title;male;culture;mother;father;heir;house;spouse;book1;book2;book3;book4;book5;isAliveMother;isAliveFather;isAliveHeir;isAliveSpouse;isMarried;isNoble;numDeadRelations;isPopular;popularity;Dívida;Capacidade de pagamento anual;
Alesander Frey;;0;;;;;House Frey;;0;1;1;1;0;;;;;0;0;0;0;0.1438127090301; R$ 57.548,00 ; R$ 47.870,00 ;
Damon Dance-for-Me;;1;;;;;House Bolton;;0;0;0;0;1;;;;;0;0;0;0;0.0334448160535117; R$ 29.198,00 ; R$ 38.992,00 ;
Aegor Rivers;Ser;1;;;;;House Bracken;Calla Blackfyre;0;0;0;1;1;;;;1;1;1;4;0;0.210702341137123; R$ 7.640,00 ; R$ 77.485,00 ;
Steffon Frey;;0;;;;;House Frey;;0;1;1;1;0;;;;;0;0;0;0;0.100334448160535; R$ 39.494,00 ; R$ 52.022,00 ;
Emphyria Vance;;0;;;;;House Vance of Wayfarer's Rest;;0;0;0;1;0;;;;;0;0;0;0;0.0167224080267558; R$ 12.938,00 ; R$ 48.276,00 ;
Viserys Targaryen;Lord of the Seven Kingdoms;1;Valyrian;;;;House Targaryen;;1;1;1;1;1;;;;;0;1;11;1;0.622073578595317; R$ 34.079,00 ; R$ 40.586,00 ;
Rolland Longthorpe;Longsister;0;;;;;House Longthorpe;;0;0;0;1;1;;;;;0;1;0;0;0.0167224080267558; R$ 21.638,00 ; R$ 44.988,00 ;
Lewys Lydden;Lord of the Deep Den;0;;;;;House Lydden;;1;1;1;1;1;;;;;0;1;0;0;0.0367892976588628; R$ 82.839,00 ; R$ 62.877,00 ;
Mawney;;1;;;;;Night's Watch;;0;0;1;1;1;;;;;0;0;0;0;0.0234113712374581; R$ 13.859,00 ; R$ 79.401,00 ;
Ternesio Terys;Captain;1;Braavosi;;;;;;0;0;1;1;0;;;;;0;1;0;0;0.0234113712374581; R$ 90.850,00 ; R$ 73.041,00 ;
Aladale Wynch;Ser;1;Ironborn;;;;House Wynch;;0;1;1;0;0;;;;;0;1;0;0;0.020066889632107; R$ 57.318,00 ; R$ 30.910,00 ;
Pyat Pree;Warlock;0;;;;;Undying Ones;;0;1;1;1;1;;;;;0;1;0;0;0.0969899665551839; R$ 88.295,00 ; R$ 30.546,00 ;
Reznak mo Reznak;Seneschal;1;Ghiscari;;;;House of Reznak;;0;0;0;0;1;;;;;0;1;0;0;0.0802675585284281; R$ 30.819,00 ; R$ 38.908,00 ;
Ethan Glover;;1;Northmen;;;;House Glover;;1;1;0;0;0;;;;;0;0;0;0;0.0334448160535117; R$ 95.265,00 ; R$ 64.987,00 ;
Guthor Grimm;Lord of Greyshield;1;;;;;House Grimm;;0;0;0;1;1;;;;;0;1;0;0;0.0167224080267558; R$ 64.560,00 ; R$ 73.007,00 ;
Stafford Lannister;Ser;1;Westerman;;;;House Lannister;Myranda Lefford;1;1;1;1;1;;;;1;1;1;1;0;0.170568561872909; R$ 81.310,00 ; R$ 62.242,00 ;
Gariss;;1;;;;;House Stark;;0;1;0;0;0;;;;;0;0;0;0;0; R$ 85.257,00 ; R$ 48.953,00 ;
S'vrone;;0;Braavosi;;;;;;0;0;0;0;0;;;;;0;0;0;0;0.0133779264214046; R$ 12.653,00 ; R$ 50.010,00 ;
Clifford Conklyn;Ser;1;;;;;House Conklyn;;0;0;0;0;0;;;;;0;1;0;0;0.00668896321070234; R$ 3.080,00 ; R$ 66.446,00 ;
Archibald Yronwood;Ser;1;;;;;House Yronwood;;0;0;0;0;1;;;;;0;1;0;0;0.140468227424749; R$ 86.967,00 ; R$ 46.055,00 ;
Bennis;Ser;1;;;;;House Osgrey;;0;0;0;0;0;;;;;0;1;0;0;0.0367892976588628; R$ 29.069,00 ; R$ 45.367,00 ;
Hugo Wull;Big BucketThe Wull;1;Northern mountain clans;;;;House Wull;;0;0;0;1;1;;;;;0;1;0;0;0.0367892976588628; R$ 28.839,00 ; R$ 32.346,00 ;
Clement;Brother;1;;;;;;;0;0;0;1;0;;;;;0;1;0;0;0.0133779264214046; R$ 23.509,00 ; R$ 65.980,00 ;
Monterys Velaryon;Lord of the Tides;1;;;;;House Velaryon;;0;0;1;1;0;;;;;0;1;0;0;0.020066889632107; R$ 18.673,00 ; R$ 71.653,00 ;
Gerold Grafton;Gulltown;1;;;;;House Grafton;;0;0;0;1;1;;;;;0;1;0;0;0.0234113712374581; R$ 54.356,00 ; R$ 66.273,00 ;
Joanna Swyft;;0;;;;;House Swyft;;0;0;1;1;0;;;;;0;0;0;0;0.0234113712374581; R$ 75.126,00 ; R$ 61.547,00 ;
Arys Oakheart;Ser;1;Reach;;;;House Oakheart;;1;1;1;1;1;;;;;0;1;0;1;0.34448160535117; R$ 75.958,00 ; R$ 27.080,00 ;
Colen of Greenpools;Ser;1;;;;;House Baratheon;;0;1;0;0;0;;;;;0;1;0;0;0.0167224080267558; R$ 21.387,00 ; R$ 24.922,00 ;
Farlen;;1;;;;;House Stark;;1;1;1;0;1;;;;;0;0;0;0;0.0568561872909698; R$ 73.713,00 ; R$ 77.235,00 ;
Igon Vyrwel;;0;;;;;House Vyrwel;;1;1;1;1;1;;;;;0;0;0;0;0.0267558528428093; R$ 62.933,00 ; R$ 29.851,00 ;
Duram Bar Emmon;Sharp Point;0;;;;;House Bar Emmon;;0;1;1;1;0;;;;;0;1;0;0;0.0267558528428093; R$ 91.731,00 ; R$ 75.993,00 ;
Rugen;Undergaoler;1;;;;;;;1;0;1;1;0;;;;;0;1;0;0;0.0234113712374581; R$ 79.143,00 ; R$ 27.037,00 ;
Ryam Florent;Ser;1;;;;;House Florent;;0;1;1;1;0;;;;;0;1;0;0;0.0635451505016722; R$ 12.956,00 ; R$ 70.117,00 ;
Kurleket;;1;;;;;House Bracken;;1;0;0;0;0;;;;;0;0;0;0;0.0100334448160535; R$ 52.248,00 ; R$ 78.778,00 ;
Lucas Codd;;0;Ironborn;;;;House Codd;;0;0;0;1;1;;;;;0;0;0;0;0.0234113712374581; R$ 95.787,00 ; R$ 47.201,00 ;
Emmon Frey;Riverrun;1;;;;;House Frey of Riverrun;Genna Lannister;1;1;1;1;1;;;;1;1;1;0;0;0.23076923076923; R$ 6.236,00 ; R$ 76.790,00 ;
Eroeh;;0;Lhazareen;;;;;;1;1;0;0;1;;;;;0;0;0;0;0.0334448160535117; R$ 36.744,00 ; R$ 24.778,00 ;
Maddy;;0;;;;;House Arryn;;0;0;0;1;1;;;;;0;0;0;0;0.0133779264214046; R$ 49.075,00 ; R$ 58.787,00 ;
Bump;;1;Free folk;;;;;;0;0;0;0;1;;;;;0;0;0;0;0.0234113712374581; R$ 18.165,00 ; R$ 56.485,00 ;
Alysanne Osgrey;;0;;;;;House Osgrey;;0;0;0;0;0;;;;;0;0;0;0;0.0267558528428093; R$ 29.848,00 ; R$ 78.526,00 ;
Philip Foote;Ser;1;;;;;House Foote;;0;1;1;0;1;;;;;0;1;0;0;0.0501672240802675; R$ 31.753,00 ; R$ 70.562,00 ;
Tim Stone;;0;;;;;Night's Watch;;0;0;1;1;1;;;;;0;0;0;0;0.0167224080267558; R$ 23.111,00 ; R$ 42.849,00 ;
Jorquen;Septon;1;;;;;Night's Watch;;0;0;0;1;0;;;;;0;0;0;0;0.00334448160535117; R$ 3.361,00 ; R$ 78.429,00 ;
Renly Baratheon;Lord Paramount of the Stormlands;1;Stormlands;;;;House Baratheon;Margaery Tyrell;1;1;1;1;1;;;;1;1;1;2;1;1; R$ 81.636,00 ; R$ 55.941,00 ;
Thormor Ironmaker;;1;Ironborn;;;;House Ironmaker;;0;0;0;1;0;;;;;0;0;0;0;0.0167224080267558; R$ 46.606,00 ; R$ 38.965,00 ;
Erik Ironmaker;Lord Steward of the Iron Islands;1;Ironborn;;;;House Ironmaker;Asha Greyjoy;0;0;0;1;1;;;;1;1;1;0;0;0.0501672240802675; R$ 8.736,00 ; R$ 46.429,00 ;
Mina Tyrell;;0;;;;;House Tyrell;Paxter Redwyne;1;1;1;1;1;;;;1;1;0;0;0;0.163879598662207; R$ 60.849,00 ; R$ 47.303,00 ;
Glendon Hewett;Ser;1;;;;;House Hewett;;0;0;1;1;1;;;;;0;1;0;0;0.0267558528428093; R$ 84.117,00 ; R$ 55.978,00 ;
Branston Cuy;Lord of Sunflower Hall;0;;;;;House Cuy;;0;0;0;1;0;;;;;0;1;0;0;0.00668896321070234; R$ 11.131,00 ; R$ 71.384,00 ;
Clement Piper;Pinkmaiden;1;Rivermen;;;;House Piper;;1;0;1;1;1;;;;;0;1;0;0;0.0702341137123745; R$ 22.687,00 ; R$ 58.416,00 ;
Old Henly;;1;;;;;Night's Watch;;0;0;1;0;0;;;;;0;0;0;0;0.0133779264214046; R$ 47.298,00 ; R$ 34.019,00 ;
Addam Osgrey;;1;;;;;House Osgrey;;0;0;0;0;0;;;;;0;0;0;0;0.0367892976588628; R$ 94.500,00 ; R$ 39.166,00 ;
Walda Frey (daughter of Walton);;0;;;;;House Frey;;0;0;0;0;0;;;;;0;0;0;0;0; R$ 65.919,00 ; R$ 27.093,00 ;
Luton;;1;Northmen;;;;House Bolton;;0;0;0;0;1;;;;;0;0;0;0;0.0234113712374581; R$ 82.433,00 ; R$ 41.878,00 ;
Colin Florent;Ser;0;;;;;House Florent;;0;1;1;1;0;;;;;0;1;0;0;0.0836120401337792; R$ 49.449,00 ; R$ 49.118,00 ;
Aenys Frey;Ser;1;;;;;House Frey;Tyana Wylde;1;1;1;1;1;;;;1;1;1;0;0;0.147157190635451; R$ 35.293,00 ; R$ 45.328,00 ;
Denys Mallister;Ser;1;;;;;House Mallister;;1;1;1;1;1;;;;;0;1;0;0;0.130434782608695; R$ 84.936,00 ; R$ 71.705,00 ;
Dorren Stark;;1;Northmen;;;;;;0;1;0;0;0;;;;;0;0;0;0;0.0133779264214046; R$ 55.502,00 ; R$ 74.100,00 ;
Kirby Pimm;Ser;1;;;;;;;0;0;0;0;0;;;;;0;1;0;0;0; R$ 25.908,00 ; R$ 24.630,00 ;
Daella Targaryen (daughter of Maekar I);Princess;1;Valyrian;;;;House Targaryen;;0;0;0;0;0;;;;;0;1;0;0;0.0802675585284281; R$ 27.076,00 ; R$ 77.015,00 ;
Timett;red hand;1;Vale mountain clans;;;;Burned Men;;1;1;1;0;1;;;;;0;1;0;0;0.0735785953177257; R$ 77.660,00 ; R$ 54.121,00 ;
Maegor I Targaryen;;1;;Visenya Targaryen;Aegon I Targaryen;Jaehaerys Targaryen;;;0;0;0;0;0;0;0;1;;0;0;0;1;0.705685618729097; R$ 84.087,00 ; R$ 36.848,00 ;
Aron Santagar;Ser;1;Dornish;;;;House Santagar;;1;1;0;1;0;;;;;0;1;0;0;0.0668896321070234; R$ 67.227,00 ; R$ 57.315,00 ;
Bellonara Otherys;;0;Braavosi;;;;;;0;0;0;1;0;;;;;0;0;0;0;0.0133779264214046; R$ 37.369,00 ; R$ 46.413,00 ;
Godric Borrell;Sweetsister;1;Sistermen;;;;House Borrell;;0;0;0;1;1;;;;;0;1;0;0;0.0869565217391304; R$ 92.379,00 ; R$ 36.654,00 ;
Raymun Redbeard;King-Beyond-the-Wall;1;free folk;;;;;;0;0;0;0;0;;;;;0;1;0;0;0; R$ 80.581,00 ; R$ 40.075,00 ;
Amarei Crakehall;;0;;;;;House Crakehall;Walder Frey;0;1;1;1;1;;;;1;1;0;0;0;0.153846153846153; R$ 67.308,00 ; R$ 43.558,00 ;
Matt;;1;;;;;;;0;0;1;0;0;;;;;0;0;0;0;0.00334448160535117; R$ 5.634,00 ; R$ 69.352,00 ;
Andrik;Lord of Southshield;1;Ironborn;;;;House Drumm;;0;1;1;1;1;;;;;0;1;0;0;0.0434782608695652; R$ 98.767,00 ; R$ 58.875,00 ;
Cletus Yronwood;Ser;1;;;;;House Yronwood;;0;0;0;1;1;;;;;0;1;0;0;0.0702341137123745; R$ 92.189,00 ; R$ 40.001,00 ;
Gregor Clegane;Ser;1;;;;;House Clegane;;1;1;1;1;1;;;;;0;1;1;1;0.836120401337792; R$ 73.666,00 ; R$ 73.127,00 ;
Benjen Stark;First Ranger;1;Northmen;;;;House Stark;;1;1;1;1;1;;;;;0;1;5;1;0.40133779264214; R$ 54.831,00 ; R$ 23.658,00 ;
Salladhor Saan;Prince of the Narrow Sea;1;Lysene;;;;House Baratheon of Dragonstone;;0;1;1;1;1;;;;;0;1;0;0;0.187290969899665; R$ 41.162,00 ; R$ 46.462,00 ;
Lyonel (knight);Ser;1;;;;;House Lannister;;0;1;0;0;0;;;;;0;1;0;0;0.0133779264214046; R$ 83.986,00 ; R$ 30.485,00 ;
Haggon;;1;Free Folk;;;;;;0;0;0;0;1;;;;;0;0;0;0;0.020066889632107; R$ 98.295,00 ; R$ 72.788,00 ;
Cellador;Septon;1;;;;;Night's Watch;;1;1;1;1;1;;;;;0;0;0;0;0.0334448160535117; R$ 71.626,00 ; R$ 23.539,00 ;
Rorge;;1;;;;;Brave Companions;;0;1;1;1;0;;;;;0;0;0;0;0.167224080267558; R$ 40.546,00 ; R$ 45.181,00 ;
Tristifer IV Mudd;;1;;;;;;;0;0;0;0;0;;;;;0;0;0;0;0.0535117056856187; R$ 4.644,00 ; R$ 36.844,00 ;
Murmison;Septon;1;;;;;Faith of the Seven;;0;0;1;0;0;;;;;0;0;0;0;0.31438127090301; R$ 5.511,00 ; R$ 73.737,00 ;
Baelon Targaryen (son of Aerys);Lord of Dragonstone;0;Valyrian;;;;House Targaryen;;0;0;0;0;0;;;;;0;1;0;0;0.0434782608695652; R$ 90.104,00 ; R$ 56.944,00 ;
Symond Frey;;1;;;;;House Frey;Betharios of Braavos;0;1;1;1;1;;;;1;1;0;0;0;0.20066889632107; R$ 31.718,00 ; R$ 25.110,00 ;
Lymond Mallister;Seagard;0;;;;;House Mallister;;0;0;0;0;0;;;;;0;1;0;0;0.0133779264214046; R$ 81.598,00 ; R$ 74.681,00 ;
Emmon Cuy;Ser;1;;;;;House Cuy;;0;1;0;0;0;;;;;0;1;0;0;0.0367892976588628; R$ 15.582,00 ; R$ 51.246,00 ;
Errok;;1;Free Folk;;;;;;0;0;1;1;0;;;;;0;0;0;0;0.00668896321070234; R$ 41.328,00 ; R$ 40.270,00 ;
Mag Mar Tun Doh Weg;;1;;;;;;;0;0;1;1;1;;;;;0;0;0;0;0.040133779264214; R$ 26.668,00 ; R$ 57.735,00 ;
Marillion;;1;;;;;;;1;1;1;1;0;;;;;0;0;0;0;0.1438127090301; R$ 22.998,00 ; R$ 41.443,00 ;
Renfred Rykker;Duskendale;1;;;;;House Rykker;;0;0;0;1;1;;;;;0;1;0;0;0.0234113712374581; R$ 46.155,00 ; R$ 55.660,00 ;
Edwyle Stark;Winterfell;1;Northmen;;;;House Stark;Marna Locke;0;1;0;0;0;;;;1;1;1;0;0;0.107023411371237; R$ 51.346,00 ; R$ 62.870,00 ;
Robb Stark;;1;;Catelyn Stark;Eddard Stark;Bran Stark;;;0;0;0;0;0;0;0;1;;0;0;7;1;1; R$ 57.219,00 ; R$ 39.413,00 ;
Big Boil;;1;Free Folk;;;;;;0;0;1;1;0;;;;;0;0;0;0;0.00668896321070234; R$ 46.295,00 ; R$ 39.696,00 ;
Lysa Arryn;Lady of the Vale;0;;;;;House Tully;Jon Arryn;0;0;0;0;0;;;;0;1;1;5;0;0; R$ 77.722,00 ; R$ 59.315,00 ;
Jorgen;;1;;;;;House Webber;;0;0;0;0;0;;;;;0;0;0;0;0; R$ 34.897,00 ; R$ 68.096,00 ;
Elmar Frey;;1;;;;;House Frey;;1;1;1;1;1;;;;;0;0;0;0;0.0668896321070234; R$ 15.112,00 ; R$ 54.710,00 ;
Edwyn Stark;King in the North;0;Northmen;;;;House Stark;;0;1;0;0;0;;;;;0;1;0;0;0.0100334448160535; R$ 5.768,00 ; R$ 42.108,00 ;
Cotter Pyke;Eastwatch-by-the-Sea;1;Ironborn;;;;Night's Watch;;1;1;1;1;1;;;;;0;1;0;0;0.150501672240802; R$ 15.936,00 ; R$ 39.655,00 ;
Sandor Frey;;0;;;;;House Frey;;0;1;1;1;0;;;;;0;0;0;0;0.147157190635451; R$ 45.946,00 ; R$ 65.250,00 ;
Endehar;;0;;;;;;;0;1;0;0;0;;;;;0;0;0;0;0; R$ 44.274,00 ; R$ 63.253,00 ;
Walder Vance;;1;;;;;House Vance;;0;1;1;1;0;;;;;0;0;0;0;0.110367892976588; R$ 96.585,00 ; R$ 78.386,00 ;
Marei;;1;;;;;Chataya's brothel;;0;1;1;1;1;;;;;0;0;0;0;0.0434782608695652; R$ 30.866,00 ; R$ 68.311,00 ;
Bryen;;1;;;;;House Baelish;;0;0;1;0;0;;;;;0;0;0;0;0.0167224080267558; R$ 47.627,00 ; R$ 34.542,00 ;
Willem Lannister;;1;;;;;House Lannister;;1;1;1;1;1;;;;;0;0;4;0;0.167224080267558; R$ 16.687,00 ; R$ 70.116,00 ;
Lucos Chyttering;Lord;1;;;;;House Chyttering;;0;0;1;1;0;;;;;0;1;0;0;0.020066889632107; R$ 14.018,00 ; R$ 79.397,00 ;
Karlon Stark;Karl's Hold;1;Northmen;;;;House Stark;;0;0;1;0;0;;;;;0;1;0;0;0.0167224080267558; R$ 70.394,00 ; R$ 62.158,00 ;
Arnolf Karstark;Karhold;1;Northmen;;;;House Karstark;;0;0;0;1;1;;;;;0;1;0;0;0.137123745819397; R$ 67.331,00 ; R$ 29.373,00 ;
Ben Blackthumb;;1;;;;;House Whent;;0;1;0;1;0;;;;;0;0;0;0;0.0267558528428093; R$ 47.909,00 ; R$ 61.523,00 ;
Qyburn;Master of whisperers;1;;;;;House Lannister;;0;1;1;1;1;;;;;0;1;0;1;0.535117056856187; R$ 59.217,00 ; R$ 26.898,00 ;
Anders Yronwood;Yronwood;1;;;;;House Yronwood;;0;0;1;1;1;;;;;0;1;0;0;0.060200668896321; R$ 40.673,00 ; R$ 60.760,00 ;
Mathis Frey;;0;;;;;House Frey;;0;1;1;1;0;;;;;0;0;0;0;0.0836120401337792; R$ 43.400,00 ; R$ 29.805,00 ;
Qarl Quickaxe;;1;Ironmen;;;;;;0;0;0;0;1;;;;;0;0;0;0;0.00334448160535117; R$ 19.258,00 ; R$ 43.200,00 ;
Andar Royce;Ser;1;Valemen;;;;House Royce;;1;1;1;1;1;;;;;0;1;0;0;0.040133779264214; R$ 41.737,00 ; R$ 42.887,00 ;
Boy;;1;;;;;;;0;0;1;1;0;;;;;0;0;0;0;0.0100334448160535; R$ 72.633,00 ; R$ 37.566,00 ;
Galladon of Morne;Ser;1;;;;;;;0;0;0;0;0;;;;;0;1;0;0;0; R$ 15.179,00 ; R$ 75.512,00 ;
Gerardys;Grand Maester;1;;;;;Blacks;;0;0;1;0;0;;;;;0;1;0;0;0.0234113712374581; R$ 25.611,00 ; R$ 72.577,00 ;
Jaremy Rykker;First Ranger;1;;;;;Night's Watch;;1;1;1;0;1;;;;;0;1;0;0;0.060200668896321; R$ 27.756,00 ; R$ 35.556,00 ;
Henk;;1;Free Folk;;;;;;0;0;1;1;0;;;;;0;0;0;0;0.00668896321070234; R$ 76.353,00 ; R$ 52.566,00 ;
Daeron Targaryen (son of Viserys I);Ser;1;;;;;House Targaryen;;0;0;0;0;0;;;;;0;1;0;0;0.227424749163879; R$ 55.611,00 ; R$ 26.505,00 ;
Arthor Karstark;;1;Northmen;;;;House Karstark;;0;0;0;0;1;;;;;0;0;0;0;0.0434782608695652; R$ 18.898,00 ; R$ 78.944,00 ;
Utherydes Wayn;Steward;0;;;;;House Wayn;;1;1;1;1;1;;;;;0;1;0;0;0.0334448160535117; R$ 83.525,00 ; R$ 37.243,00 ;
Gwin Goodbrother;;0;Ironborn;;;;House Goodbrother;;0;0;0;1;0;;;;;0;0;0;0;0.0267558528428093; R$ 63.717,00 ; R$ 36.538,00 ;
Lucifer Hardy;Lord;1;;;;;House Hardy;;0;0;0;1;0;;;;;0;1;0;0;0.00668896321070234; R$ 87.832,00 ; R$ 51.215,00 ;
Jasper Wylde;Rain House;1;;;;;House Wylde;;0;0;0;0;0;;;;;0;1;0;0;0.250836120401337; R$ 75.387,00 ; R$ 76.603,00 ;
Groleo;[1];0;Pentoshi;;;;House Targaryen;;0;0;1;1;1;;;;;0;1;0;0;0.110367892976588; R$ 15.987,00 ; R$ 38.045,00 ;
Godry Farring;Ser;1;;;;;House Farring;;0;0;0;1;1;;;;;0;1;0;0;0.0635451505016722; R$ 80.015,00 ; R$ 78.209,00 ;
Meryn Trant;Ser;1;;;;;House Trant;;1;1;1;1;1;;;;;0;1;0;0;0.220735785953177; R$ 88.229,00 ; R$ 39.050,00 ;
Eddison Tollett;;1;Valemen;;;;House Tollett;;0;1;1;1;1;;;;;0;0;0;0;0.100334448160535; R$ 51.147,00 ; R$ 79.624,00 ;
Jocelyn Swyft;;0;;;;;House Swyft;;0;0;0;1;1;;;;;0;0;0;0;0.0167224080267558; R$ 48.980,00 ; R$ 70.747,00 ;
Saera Targaryen;Princess;1;Valyrian;;;;House Targaryen;;0;0;0;0;0;;;;;0;1;0;0;0.0702341137123745; R$ 18.729,00 ; R$ 67.017,00 ;
Barba Bracken;;0;;;;;House Bracken;;0;0;0;0;1;;;;;0;0;0;0;0.0501672240802675; R$ 68.534,00 ; R$ 57.965,00 ;
Quentyn Martell;Ser;1;Dornishmen;;;;House Martell;;1;1;1;1;1;;;;;0;1;0;1;0.551839464882943; R$ 23.111,00 ; R$ 38.209,00 ;
Kyra Frey;;0;;;;;House Frey;Garse Goodbrook;0;1;1;1;0;;;;1;1;0;0;0;0.0668896321070234; R$ 60.618,00 ; R$ 72.135,00 ;
Jason Mallister;Seagard;1;Riverlands;;;;House Mallister;;1;1;1;1;1;;;;;0;1;0;0;0.127090301003344; R$ 13.574,00 ; R$ 70.866,00 ;
Perriane Frey;;0;;;;;House Haigh;Leslyn Haigh;0;1;1;1;1;;;;1;1;0;0;0;0.0735785953177257; R$ 89.780,00 ; R$ 63.607,00 ;
Dyah;;0;Free Folk;;;;;Craster;0;0;1;1;0;;;;0;1;0;0;0;0.0167224080267558; R$ 19.016,00 ; R$ 30.594,00 ;
Cyrenna Swann;;0;;;;;House Swann;Walder Frey;0;1;1;1;1;;;;1;1;0;0;0;0.0769230769230769; R$ 35.762,00 ; R$ 42.069,00 ;
Jared Frey;Ser;1;;;;;House Frey;Alys Frey;1;1;1;1;1;;;;1;1;1;0;0;0.147157190635451; R$ 91.022,00 ; R$ 74.172,00 ;
Rollam Westerling;;1;;;;;House Westerling;;0;0;1;1;0;;;;;0;0;0;0;0.0434782608695652; R$ 34.929,00 ; R$ 36.124,00 ;
Shae;;0;;;;;;;1;1;1;1;1;;;;;0;0;0;0;0.290969899665551; R$ 63.799,00 ; R$ 59.503,00 ;
Benjen Stark (Bitter);;1;Northmen;;;;;;0;1;0;0;0;;;;;0;0;0;0;0.0133779264214046; R$ 10.818,00 ; R$ 72.359,00 ;
Kurz;;1;;;;;;;0;1;0;0;0;;;;;0;0;0;0;0.0367892976588628; R$ 31.901,00 ; R$ 52.305,00 ;
Melessa Florent;;0;;;;;House Florent;Randyll Tarly;0;1;1;1;0;;;;1;1;0;0;0;0.0869565217391304; R$ 98.388,00 ; R$ 64.638,00 ;
Oswyn;;0;;;;;Kingswood Brotherhood;;0;0;1;0;0;;;;;0;0;0;0;0.00334448160535117; R$ 54.385,00 ; R$ 48.890,00 ;
Narbert;BrotherProctor;0;;;;;;;0;0;0;1;0;;;;;0;1;0;0;0.0267558528428093; R$ 97.215,00 ; R$ 41.714,00 ;
Sky Blue Su;;0;;;;;;;0;0;1;0;0;;;;;0;0;0;0;0; R$ 38.831,00 ; R$ 65.514,00 ;
Osbert Serry;Lord of Southshield;0;;;;;House Serry;;0;0;0;1;1;;;;;0;1;0;0;0.0267558528428093; R$ 88.611,00 ; R$ 78.549,00 ;
Brenett;Maester;1;;;;;House Frey;;0;0;1;0;0;;;;;0;1;0;0;0.00334448160535117; R$ 31.393,00 ; R$ 76.998,00 ;
Mortimer Boggs;Ser;1;;;;;House Boggs;;0;0;0;0;0;;;;;0;1;0;0;0.0133779264214046; R$ 49.216,00 ; R$ 54.867,00 ;
Gevin Harlaw;;0;Ironborn;;;;House Harlaw;;0;1;1;0;0;;;;;0;0;0;0;0.0167224080267558; R$ 36.804,00 ; R$ 78.174,00 ;
Otter Gimpknee;;0;;;;;;;0;1;1;0;0;;;;;0;0;0;0;0.00668896321070234; R$ 89.540,00 ; R$ 43.946,00 ;
Rodrik Ryswell;Rills;1;Northmen;;;;House Ryswell;;0;0;0;1;1;;;;;0;1;0;0;0.040133779264214; R$ 13.993,00 ; R$ 39.835,00 ;
Gwayne Hightower;Ser;1;;;;;House Hightower;;0;0;0;0;0;;;;;0;1;0;0;0.0501672240802675; R$ 91.166,00 ; R$ 66.317,00 ;
Lucan;;1;;;;;House Whent;;0;1;0;0;0;;;;;0;0;0;0;0.0133779264214046; R$ 54.960,00 ; R$ 35.398,00 ;
Rennifer Longwaters;Chief Undergaoler;1;;;;;House Longwaters;;0;0;0;1;1;;;;;0;1;0;0;0.0167224080267558; R$ 79.536,00 ; R$ 62.903,00 ;
Lorren;;1;;;;;;;0;1;0;0;0;;;;;0;0;0;0;0.0234113712374581; R$ 93.553,00 ; R$ 71.408,00 ;
Ondrew Locke;Lord of Oldcastle;1;Northmen;;;;House Locke;;0;1;1;1;1;;;;;0;1;0;0;0.0367892976588628; R$ 94.409,00 ; R$ 51.709,00 ;
Bodger;;0;Free Folk;;;;;;0;0;1;1;0;;;;;0;0;0;0;0.00668896321070234; R$ 13.236,00 ; R$ 39.629,00 ;
Harrold Hardyng;Ser;1;Valemen;;;;House Hardyng;;0;0;0;1;1;;;;;0;1;0;0;0.120401337792642; R$ 74.476,00 ; R$ 66.428,00 ;
Egon Emeros;;0;Qartheen;;;;Pureborn;;0;1;0;0;1;;;;;0;0;0;0;0.0133779264214046; R$ 48.125,00 ; R$ 28.106,00 ;
Minisa Whent;Riverrun;0;Rivermen;;;;House Whent;Hoster Tully;1;1;1;0;0;;;;0;1;1;0;0;0.0434782608695652; R$ 26.676,00 ; R$ 56.472,00 ;
Marianne Vance;;0;;;;;House Vance;;0;1;1;1;0;;;;;0;0;0;0;0.103678929765886; R$ 46.136,00 ; R$ 66.870,00 ;
Cerrick;Maester;1;Ironborn;;;;House Webber;;0;0;0;0;0;;;;;0;1;0;0;0.00668896321070234; R$ 50.311,00 ; R$ 48.144,00 ;
Catelyn Stark;Winterfell;0;Rivermen;;;;House Tully;Eddard Stark;0;0;0;0;0;;;;0;1;1;7;0;0; R$ 77.189,00 ; R$ 71.136,00 ;
Ferrego Antaryon;Sealord;1;Braavosi;;;;;;0;0;0;1;1;;;;;0;1;0;0;0.0167224080267558; R$ 76.981,00 ; R$ 68.142,00 ;
Theon Greyjoy;green lands;1;Ironmen;;;;House Greyjoy;;1;1;1;1;1;;;;;0;1;4;1;1; R$ 44.801,00 ; R$ 79.046,00 ;
Ben;;1;;;;;;;0;0;0;1;0;;;;;0;0;0;0;0.0100334448160535; R$ 63.436,00 ; R$ 78.417,00 ;
Narbo;;0;Braavosi;;;;;;0;0;0;1;0;;;;;0;0;0;0;0.0100334448160535; R$ 21.068,00 ; R$ 42.539,00 ;
Melisandre;;0;Asshai;;;;R'hllor;;0;1;1;1;1;;;;;0;0;0;1;0.745819397993311; R$ 92.184,00 ; R$ 74.831,00 ;
Janna Tyrell;;0;;;;;House Tyrell;Jon Fossoway;1;1;1;1;1;;;;1;1;0;0;0;0.177257525083612; R$ 37.933,00 ; R$ 77.661,00 ;
Addam;Ser;1;;;;;;;0;0;0;0;0;;;;;0;1;0;0;0.00668896321070234; R$ 90.847,00 ; R$ 69.254,00 ;
